INTERSECTION,CAMERA_INSTALL_YEAR,LATITUDE,LONGITUDE,X,Y,CAMERA_FACING,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL_VIOLATIONS,HIGHEST_MONTHLY_TOTAL,FID
WALKEY @ HAWTHORNE  / RUSSELL ,2008,45.3929486646713,-75.6075814489304,374674.7381,5028499.5419,Eastbound,38,52,40,31,71,108,90,63,64,75,49,78,759,108,1
ST LAURENT @ BELFAST,2008,45.4118334094536,-75.630459805422,372860.726,5030578.5619,Southbound,33,14,19,11,24,46,55,38,34,30,51,27,382,55,2
CAMPEAU @ HWY 417 WB,2008,45.3225942444655,-75.8871873015892,352841.6241,5020476.4781,Northbound,41,60,55,38,35,61,47,59,46,49,45,51,587,61,3
CATHERINE @ KENT,2008,45.4087885189798,-75.6937826888553,367907.7071,5030188.5649,Westbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,4
BASELINE @ MERIVALE,2008,45.365283282199,-75.7308209264658,365054.6989,5025325.5241,Westbound,22,20,23,25,39,42,39,43,28,37,33,30,381,43,5
BANK @ HUNT CLUB,2008,45.3536310386628,-75.6473306581912,371608.731,5024096.514,Eastbound,23,26,31,38,45,61,53,56,63,47,41,26,510,63,6
CATHERINE & O'CONNOR @ HWY 417 WB,2008,45.4105936876743,-75.6894643676993,368243.7079,5030392.5671,Westbound,101,62,71,53,56,79,263,254,256,180,129,124,1628,263,7
BOOTH @ WELLINGTON (RR40),2009,45.4162960232158,-75.7146741581923,366264.257,5031006.6879,Eastbound,51,53,53,36,27,30,26,10,N/A,N/A,N/A,N/A,286,53,8
TENTH LINE  / CHARLEMAGNE @ TOMPKINS ,2008,45.4773260791099,-75.4974113983466,383183.9299,5037977.8819,Southbound,44,45,31,35,32,48,46,49,26,30,42,34,462,49,9
BANK @ RIVERSIDE N. (RR19),2008,45.3888284137275,-75.6772345234338,369225.7159,5027983.546,Westbound,30,8,14,2,59,117,95,84,77,64,49,26,625,117,10
CARLING @ ISLAND PARK ,2008,45.3891915481429,-75.7266271322122,365357.6989,5027985.5471,Eastbound,9,4,7,5,8,10,14,14,17,16,8,1,113,17,11
KING EDWARD @ ST. PATRICK,2011,45.43246673563,-75.689087456685,368248.7041,5032823.589,Southbound,233,205,183,187,195,606,674,665,498,487,393,413,4739,674,12
BRONSON @ COMMISSIONER / SLATER ,2010,45.4157286279512,-75.7082368144614,366768.7019,5030948.5729,Southbound,12,8,8,3,53,26,33,56,32,33,34,36,334,56,13
ALBERT @ BOOTH,2010,45.4129175838453,-75.7126518164662,366426.212,5030632.7938,Eastbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,14
BANK @ HERON,2010,45.3785717095306,-75.6675515286982,369995.72,5026851.5359,Northbound,55,33,33,37,41,86,82,56,70,68,62,43,666,86,15
CYRVILLE @ INNES,2010,45.4164849189651,-75.6024449926894,375047.734,5031119.5611,Westbound,28,26,34,27,37,110,98,74,69,69,47,35,654,110,16
DUFORD / PLACE D'ORLEANS @ ST JOSEPH,2010,45.4776266353148,-75.5125911583712,381996.7441,5037996.5871,Westbound,31,38,32,55,52,77,86,40,N/A,N/A,6,46,463,86,17
BERRIGAN @ WESSEX / GREENBANK,2010,45.2749753012558,-75.74900598571,363723.6849,5015276.4359,Southbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,18
HOLLAND & ISLAND PARK @ NCC DRIVEWAY,2010,45.3885738154993,-75.7257671341875,365425.7,5027917.5471,Southbound,36,25,31,13,14,46,43,32,34,17,35,31,357,46,19
CONROY @ LORRY GREENBERG ,2010,45.3694723577142,-75.6220774373595,373568.186,5025878.183,Southbound,23,10,29,29,26,35,36,18,17,22,16,19,280,36,20
AVIATION PARKWAY @ OGILVIE ,2010,45.4279867111398,-75.6270169437815,373110.723,5032376.5759,Westbound,23,7,18,15,20,26,14,25,27,N/A,21,17,213,27,21
ELGIN / PRETORIA BRIDGE @ QUEEN ELIZABETH,2010,45.4113111081713,-75.6840626732566,368665.7101,5030476.5671,Eastbound,24,14,17,10,7,40,48,33,8,71,N/A,N/A,272,71,22
FISHER @ MEADOWLANDS,2010,45.3626308545792,-75.7114495906265,366575.0649,5025045.446,Southbound,65,74,66,55,89,87,72,68,64,32,88,88,848,89,23
SAUNDERSON @ SMYTH,2011,45.4005479113428,-75.6314887251891,372793.729,5029323.5521,Eastbound,30,36,46,32,41,45,45,37,53,21,43,32,461,53,24
JOCKVALE @ STRANDHERD,2011,45.268703063646,-75.7511685321756,363560.4819,5014577.8499,Eastbound,29,33,20,30,40,48,63,46,58,62,16,24,469,63,25
BLAIR @ REGIONAL RD 174 W.,2011,45.4333696501771,-75.6074559186472,374634.7279,5032991.577,Eastbound,27,13,23,53,89,165,140,130,80,83,43,36,882,165,26
ALBERT @ KENT,2001,45.4190265337597,-75.7024024639689,367221.703,5031319.5759,Northbound,37,30,47,45,50,94,106,105,63,284,64,53,978,284,27
KING EDWARD @ ST. ANDREW ,2012,45.4337953918273,-75.6899119815126,368182.703,5032970.591,Northbound,103,107,134,105,89,144,282,305,297,62,206,180,2014,305,28
MERIVALE @ MEADOWLANDS,2001,45.3509034209135,-75.7335171475886,364858.6981,5023725.511,Northbound,38,24,28,23,46,29,13,10,47,65,45,27,395,65,29
HERON @ RIVERSIDE ,2001,45.3767718417038,-75.6914898812798,368122.926,5026632.4101,Eastbound,32,28,39,62,64,98,125,113,101,82,50,34,828,125,30
CARLING @ RICHMOND,2001,45.3607852349862,-75.7922664619765,360245.6751,5024781.5181,Westbound,53,43,47,80,105,146,143,110,106,66,73,46,1018,146,31
BRONSON @ CARLING / GLEBE,2001,45.4010009738649,-75.6996543149848,367456.7071,5029318.5581,Southbound,35,7,9,36,17,N/A,N/A,60,73,29,52,64,382,73,32
COVENTRY / OGILVIE @ ST. LAURENT ,2001,45.4242409019617,-75.6373616071852,372305.7211,5031951.574,Northbound,30,51,38,50,43,63,65,46,18,36,52,42,534,65,33
HAZELDEAN / ROBERTSON @ EAGLESON,2001,45.3040723481689,-75.8767774519143,353673.6249,5018424.46,Southbound,17,22,21,28,42,54,63,31,37,61,31,29,436,63,34
BERRIGAN @ WESSEX / GREENBANK,2016,45.2749753012558,-75.74900598571,363723.6849,5015276.4359,Northbound,51,58,57,60,42,49,57,63,51,39,71,36,634,71,35
ST. JOSEPH @ OLD TENTH LINE ,2018,45.4846002755224,-75.4981034143561,383119.7471,5038785.5871,Eastbound,34,23,32,37,40,35,51,31,28,108,44,39,502,108,36
CATHERINE @ KENT,2017,45.4087885189798,-75.6937826888553,367907.7071,5030188.5649,Northbound,N/A,N/A,N/A,62,164,210,205,160,109,170,0,N/A,1080,210,37
BANK @ RIVERSIDE S. ,2017,45.3880203388791,-75.6762373708842,369304.7159,5027894.5449,Northbound,100,71,113,108,121,120,137,192,187,80,133,102,1464,192,38
KIRKWOOD @ COLDREY,2017,45.3816311944178,-75.7384651068835,364438.6959,5027136.54,Northbound,N/A,N/A,N/A,N/A,N/A,101,139,110,92,54,63,61,620,139,39
GLADSTONE @ ROCHESTER,2017,45.4052915663227,-75.7097367170391,366662.703,5029787.563,Westbound,45,54,46,64,84,66,102,66,72,85,59,48,791,102,40
