INTERSECTION,CAMERA_INSTALL_YEAR,LATITUDE,LONGITUDE,X,Y,CAMERA_FACING,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL_VIOLATIONS,HIGHEST_MONTHLY_TOTAL,ObjectId
WALKEY @ HAWTHORNE  / RUSSELL ,2008,45.39294866,-75.60758145,374674.7381,5028499.542,Eastbound,3,N/A,N/A,N/A,N/A,N/A,45,46,72,56,66,66,354,72,1
ST LAURENT @ BELFAST,2008,45.41183341,-75.63045981,372860.726,5030578.562,Southbound,26,29,30,20,45,39,31,35,29,31,26,16,357,45,2
CAMPEAU @ HWY 417 WB,2008,45.32259424,-75.8871873,352841.6241,5020476.478,Northbound,40,36,17,31,31,55,62,55,45,32,42,34,480,62,3
CATHERINE @ KENT,2008,45.40878852,-75.69378269,367907.7071,5030188.565,Westbound,N/A,N/A,N/A,N/A,N/A,5,54,49,39,26,36,14,223,54,4
BASELINE @ MERIVALE,2008,45.36528328,-75.73082093,365054.6989,5025325.524,Westbound,36,32,18,8,17,26,36,29,22,19,15,22,280,36,5
BANK @ HUNT CLUB,2008,45.35363104,-75.64733066,371608.731,5024096.514,Eastbound,18,21,10,12,9,54,41,58,51,43,19,19,355,58,6
CATHERINE & O'CONNOR @ HWY 417 WB,2008,45.41059369,-75.68946437,368243.7079,5030392.567,Westbound,134,133,95,33,85,130,156,154,97,48,35,26,1126,156,7
BOOTH @ WELLINGTON (RR40),2009,45.41629602,-75.71467416,366264.257,5031006.688,Eastbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,8
TENTH LINE  / CHARLEMAGNE @ TOMPKINS ,2008,45.47732608,-75.4974114,383183.9299,5037977.882,Southbound,35,38,29,21,22,37,28,26,19,28,23,27,333,38,9
BANK @ RIVERSIDE N. (RR19),2008,45.38882841,-75.67723452,369225.7159,5027983.546,Westbound,8,11,9,8,29,44,72,38,39,33,19,26,336,72,10
CARLING @ ISLAND PARK ,2008,45.38919155,-75.72662713,365357.6989,5027985.547,Eastbound,7,6,2,1,4,4,10,6,9,0,1,1,51,10,11
KING EDWARD @ ST. PATRICK,2011,45.43246674,-75.68908746,368248.7041,5032823.589,Southbound,377,279,165,50,213,327,466,463,393,251,110,109,3203,466,12
BRONSON @ COMMISSIONER / SLATER ,2010,45.41572863,-75.70823681,366768.7019,5030948.573,Southbound,18,20,36,12,13,24,34,37,26,33,22,28,303,37,13
ALBERT @ BOOTH,2010,45.41291758,-75.71265182,366426.212,5030632.794,Eastbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,14
BANK @ HERON,2010,45.37857171,-75.66755153,369995.72,5026851.536,Northbound,41,12,8,14,51,65,71,68,31,22,0,0,383,71,15
CYRVILLE @ INNES,2010,45.41648492,-75.60244499,375047.734,5031119.561,Westbound,25,95,33,43,75,79,77,57,34,24,14,13,569,95,16
DUFORD / PLACE D'ORLEANS @ ST JOSEPH,2010,45.47762664,-75.51259116,381996.7441,5037996.587,Westbound,23,20,15,26,47,70,109,76,59,46,35,37,563,109,17
BERRIGAN @ WESSEX / GREENBANK,2010,45.2749753,-75.74900599,363723.6849,5015276.436,Southbound,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,18
HOLLAND & ISLAND PARK @ NCC DRIVEWAY,2010,45.38857382,-75.72576713,365425.7,5027917.547,Southbound,56,48,42,33,53,44,34,24,34,19,32,15,434,56,19
CONROY @ LORRY GREENBERG ,2010,45.36947236,-75.62207744,373568.186,5025878.183,Southbound,23,13,19,11,23,17,20,19,22,18,18,14,217,23,20
AVIATION PARKWAY @ OGILVIE ,2010,45.42798671,-75.62701694,373110.723,5032376.576,Westbound,14,10,6,11,12,14,24,16,16,5,18,9,155,24,21
ELGIN / PRETORIA BRIDGE @ QUEEN ELIZABETH,2010,45.41131111,-75.68406267,368665.7101,5030476.567,Eastbound,N/A,N/A,N/A,N/A,N/A,7,100,119,123,82,85,22,538,123,22
FISHER @ MEADOWLANDS,2010,45.36263085,-75.71144959,366575.0649,5025045.446,Southbound,89,64,51,23,31,61,54,54,53,47,49,60,636,89,23
SAUNDERSON @ SMYTH,2011,45.40054791,-75.63148873,372793.729,5029323.552,Eastbound,19,21,28,26,25,46,22,38,25,11,13,9,283,46,24
JOCKVALE @ STRANDHERD,2011,45.26870306,-75.75116853,363560.4819,5014577.85,Eastbound,10,8,0,0,37,25,32,33,27,40,33,15,260,40,25
BLAIR @ REGIONAL RD 174 W.,2011,45.43336965,-75.60745592,374634.7279,5032991.577,Eastbound,33,27,40,54,74,93,86,92,55,39,41,23,657,93,26
ALBERT @ KENT,2001,45.41902653,-75.70240246,367221.703,5031319.576,Northbound,46,23,36,24,61,54,59,59,83,48,27,37,557,83,27
